svm,linear,0.32
svm,linear,0.37
svm,linear,0.39
svm,linear,0.33
svm,linear,0.28
svm,linear,0.42
svm,linear,0.32
svm,linear,0.4
svm,linear,0.43
svm,linear,0.29
svm,rbf,0.34
svm,rbf,0.28
svm,rbf,0.28
svm,rbf,0.36
svm,rbf,0.28
svm,rbf,0.26
svm,rbf,0.3
svm,rbf,0.28
svm,rbf,0.33
svm,rbf,0.33
svm,rbf,0.28
svm,linear,0.41
svm,linear,0.32
svm,linear,0.39
svm,linear,0.4
svm,linear,0.34
svm,linear,0.37
svm,linear,0.39
svm,linear,0.36
svm,linear,0.36
svm,linear,0.44
svm,rbf,0.27
svm,rbf,0.38
svm,rbf,0.29
svm,rbf,0.3
svm,rbf,0.27
svm,rbf,0.32
svm,rbf,0.36
svm,rbf,0.3
svm,rbf,0.29
svm,rbf,0.23
